060729  19:12:29 115.3 26.1 Swift 0.54
060719  06:50:37 66.9 15 Swift 1.532
060714  15:12:00 115 28.3 Swift 2.71
060707  21:30:19 66.2 16 Swift 3.43
060614  12:43:49 108.7 204 Swift 0.125
060607A 05:12:13 102.2 25.5 Swift 3.082
060605  18:15:45 79.1 6.97 Swift 3.78
060604  18:19:00 95 4.02 Swift 2.1357
060602A 21:32:12 75 16.1 Swift 0.787
060526  16:28:30 298.2 12.6 Swift 3.21
060522  02:11:19 71.1 11.4 Swift 5.11
060512  23:13:21 8.5 2.32 Swift 0.4428
060510B 08:22:15 275.2 40.7 Swift 4.9
060505  06:36:01 4 9.44 Swift 0.089
060502A 03:03:32 28.4 23.1 Swift 1.51
060418  03:06:08 103.1 83.3 Swift 1.489
060223  06:04:24 11.3  6.73 Swift 4.41
060218  03:34:31 2100 15.7 Swift 0.0331
060210  04:58:50 255 76.7 Swift 3.91
060206  04:46:53 7.6 8.31 Swift 4.048
060202  08:40:55 203.7 0 Swift 0.783
060124  15:54:52 750 4.61 Swift 2.297
060123  22:22:40 900 3.0 Swift 1.099
060115  13:08:01 139.6 17.1 Swift 3.53
060108  14:39:12 14.3 3.69 Swift 2.03  
051117B 13:22:54 9.0 1.77 Swift 0.481
051111  05:59:41 46.1 40.8 Swift 1.549
051109B 08:39:39 14.3 2.56 Swift 0.08  
051109A 01:12:21 37.2 22 Swift 2.346  
051016B 18:28:09 4.0 1.7 Swift 0.9364
051006  20:30:33 34.8 13.40 Swift 1.059
051001  11:11:36 189.1 17.4 Swift 2.4296
050922C 19:55:50 4.5 16.2 Swift 2.198
050915A 11:22:42 52 8.50 Swift 2.5273 
050908  05:42:31 19.4 4.83 Swift 3.3437
050826  06:18:10 35.5 4.13 Swift 0.297
050820A 06:34:53 26 34.4 Swift 2.6147 
050819  16:23:55 37.7 3.50 Swift 2.5043
050814  11:38:57 150.9 20.1 Swift 5.3
050802  10:08:02 19 20.0 Swift 1.434
050730  19:58:23 156.5 23.8 Swift 3.96855
050724  12:34:09 96 9.98 Swift 0.258
050525  00:02:53 8.8 153 Swift 0.606
050505  23:22:21 58.9 24.9 Swift 4.27
050416A 11:04:44 2.5 3.67 Swift 0.6535
050401  14:20:15 33.3 82.2 Swift 2.9
050319  09:31:18 152.5 13.1 Swift 3.24
050318  15:44:37 32 10.8 Swift 1.44
050315  20:59:43 95.6 32.2 Swift 1.949
050223  03:09:06 22.5 6.36 Swift 0.5915
050126  12:00:54 24.8 8.38 Swift 1.29
120716A 17:05:04 234 0 IPN 2.48
111211A 22:17:33 15 0 AGLIE 0.478 
110918A 21:26:57 0 0 IPN 0.984 
110213B 14:31:33 50 0 MAXI 1.083
100414A 02:20:21 26.4  0 Fermi 1.37
091003  04:35:45 21.1 0 Fermi 0.8969
090926	04:20:26 20 0 Fermi 2.1062
090902B 11:05:15 19 0 Fermi 1.822
090328  09:36:49 80 0 Fermi 0.736 
090323  00:02:42 150 0  Fermi 3.57
080514B 09:55:56 10 0 AGILE/IPN 1.8
070125  07:20:42 70 0 IPN 1.547 
051022  13:07:58 200 0 HETE 0.8
050502A 02:14:17 20 0 INTEGRAL 3.793
050408  16:22:50 34 0 HETE 1.236
041219  01:42:54 520 0 INTEGRAL 0.31
031203  22:01:36 30 0 INTEGRAL 0.105
030329  11:37:14 25 0 HETE 0.1685
030328  11:20:58 100 0 HETE 1.52
030323  21:56:57 26 0 HETE 3.372
030226  03:46:31 100 0 HETE 1.98
021211  11:18:34 5.7 0 HETE 1.006
021004  12:06:13 100 0 HETE 2.33
020819B 14:57:35 20 0 HETE 0.41
020813  02:44:19 125 0 HETE 1.2545
020405  00:41:26 40 0 Ulysses 0.695
020127  20:57:24 5.5 0 HETE 1.9
020124  10:41:15 70 0 HETE 3.20 
